"U:0","U:1","U:2","Points:0","Points:1","Points:2"
37.4817,-0.0120359,0.12274,0.104675,0.0802032,0.09
37.48,-0.00102079,0.120011,0.106891,0.078,0.09
37.4719,4.8596e-06,0.120864,0.106894,0.0802036,0.09
37.4613,0.0143994,0.116116,0.109109,0.078,0.09
37.4576,0.019299,0.117249,0.109113,0.0802039,0.09
37.4209,0.0136369,0.114614,0.111327,0.078,0.09
37.4327,0.018473,0.115208,0.111331,0.0802042,0.09
37.4085,-0.00543394,0.114437,0.113545,0.078,0.09
37.4183,-0.0061701,0.11481,0.113549,0.0802044,0.09
37.4168,-0.00816657,0.114589,0.115762,0.078,0.09
37.4095,-0.0110447,0.115584,0.115766,0.0802046,0.09
37.4081,0.0157077,0.107307,0.11798,0.078,0.09
37.3994,0.0215078,0.108713,0.117984,0.0802048,0.09
37.3625,0.0217997,0.104249,0.120198,0.078,0.09
37.3717,0.0324907,0.104711,0.120202,0.0802049,0.09
37.3278,-0.00169579,0.110147,0.122416,0.078,0.09
37.3409,0.00057863,0.110292,0.12242,0.0802051,0.09
37.3428,-0.0114127,0.11171,0.124634,0.078,0.09
37.3376,-0.0170694,0.113259,0.124637,0.0802053,0.09
37.3513,0.0115357,0.102957,0.126851,0.078,0.09
37.3409,0.0144715,0.10438,0.126855,0.0802054,0.09
37.2977,0.0244042,0.101045,0.129069,0.078,0.09
37.3037,0.0375388,0.101155,0.129073,0.0802056,0.09
37.2598,0.00155198,0.107863,0.131287,0.078,0.09
37.2721,0.00515706,0.108307,0.131291,0.0802058,0.09
37.2765,-0.0123923,0.110819,0.133505,0.078,0.09
37.2746,-0.0204422,0.112339,0.133508,0.0802059,0.09
37.2872,0.00681595,0.104891,0.135723,0.078,0.09
37.2774,0.00640143,0.106219,0.135726,0.0802062,0.09
37.2482,0.0207404,0.100145,0.137941,0.078,0.09
37.2502,0.0322871,0.100265,0.137945,0.0802066,0.09
37.2104,0.00550638,0.106514,0.140158,0.078,0.09
37.2204,0.0103728,0.106955,0.140163,0.0802071,0.09
37.2159,-0.00957885,0.112384,0.142376,0.078,0.09
37.2169,-0.0177129,0.113795,0.142383,0.0802085,0.09
37.23,0.000333158,0.105546,0.144601,0.078,0.09
37.2231,-0.00284162,0.106689,0.144604,0.0802073,0.09
37.2081,0.0141394,0.101001,0.146826,0.078,0.09
37.2065,0.0228458,0.101697,0.146828,0.0802034,0.09
37.1737,0.0086372,0.106837,0.14905,0.078,0.09
37.1803,0.014004,0.107326,0.149052,0.080199,0.09
37.1642,-0.00445413,0.109793,0.151274,0.078,0.09
37.1693,-0.00984239,0.110689,0.151275,0.0801947,0.09
37.1794,-0.00503436,0.106576,0.153498,0.078,0.09
37.1763,-0.00936822,0.107967,0.153499,0.0801906,0.09
37.1742,0.0056819,0.103476,0.155721,0.078,0.09
37.1694,0.0103037,0.10448,0.155722,0.0801869,0.09
37.1416,0.0111092,0.10577,0.157944,0.078,0.09
37.145,0.0162318,0.106332,0.157945,0.0801834,0.09
37.1256,0.00186636,0.108165,0.160166,0.078,0.09
37.1339,-0.000294368,0.108641,0.160167,0.0801805,0.09
37.135,-0.00901623,0.107854,0.162389,0.078,0.09
37.1359,-0.0139365,0.108792,0.162391,0.0801799,0.09
37.1345,-0.00203956,0.108266,0.164611,0.078,0.09
37.1273,-0.00227317,0.109577,0.164616,0.0801803,0.09
37.1213,0.012581,0.107089,0.166836,0.078,0.09
37.1202,0.0152018,0.107819,0.166842,0.0801869,0.09
37.0975,0.00747723,0.107861,0.16906,0.078,0.09
37.1077,0.0065418,0.107841,0.169066,0.0801893,0.09
37.0893,-0.0106753,0.11411,0.171287,0.078,0.09
37.0948,-0.0150464,0.114357,0.171289,0.0801919,0.09
37.1067,-0.00976743,0.114563,0.17351,0.078,0.09
37.0973,-0.0143474,0.115994,0.173511,0.0801917,0.09
37.1081,0.00968847,0.112635,0.175732,0.078,0.09
37.1018,0.00644496,0.113995,0.175732,0.0801907,0.09
37.0768,0.0121579,0.114335,0.177953,0.078,0.09
37.0878,0.0111382,0.114083,0.177954,0.0801897,0.09
37.0644,-0.0104083,0.121063,0.180174,0.078,0.09
37.0742,-0.0128294,0.12077,0.180175,0.0801888,0.09
37.087,-0.0182739,0.125928,0.182391,0.078,0.09
37.0781,-0.0265512,0.127376,0.182392,0.0801891,0.09
37.0995,0.00417087,0.124454,0.184604,0.078,0.09
37.0889,-0.00576628,0.126436,0.184604,0.0801906,0.09
37.0794,0.0152426,0.123385,0.186816,0.078,0.09
37.0881,0.0124801,0.123642,0.186817,0.0801921,0.09
37.0585,-0.00851265,0.131754,0.189028,0.078,0.09
37.0725,-0.00874555,0.130943,0.189029,0.0801936,0.09
37.0744,-0.0233252,0.138352,0.191241,0.078,0.09
37.0689,-0.0325918,0.139501,0.191241,0.0801951,0.09
37.1027,-0.00209037,0.137862,0.193453,0.078,0.09
37.0886,-0.0170668,0.140592,0.193454,0.0801967,0.09
37.0915,0.0138365,0.136151,0.195665,0.078,0.09
37.0967,0.00790775,0.136915,0.195666,0.0801982,0.09
37.0637,-0.00549352,0.141751,0.197878,0.078,0.09
37.0797,-0.00424738,0.14093,0.197878,0.0801997,0.09
37.0812,-0.0235525,0.15039,0.20009,0.078,0.09
37.0789,-0.0326868,0.151411,0.20009,0.0802013,0.09
